# node	pf_bdf	mgmt_bdf	interface
dell-b200-01	0000:18:00.0	0000:18:00.1	ens40f0np0
dell-b200-01	0000:1a:00.0	0000:1a:00.1	ens42f0np0
dell-b200-01	0000:3a:00.0	0000:3a:00.1	ens41f0np0
dell-b200-01	0000:4d:00.0	0000:4d:00.1	ens38f0np0
dell-b200-01	0000:5d:00.0	0000:5d:00.1	ens37f0np0
dell-b200-01	0000:9b:00.0	0000:9b:00.1	ens32f0np0
dell-b200-01	0000:ba:00.0	0000:ba:00.1	ens31f0np0
dell-b200-01	0000:ca:00.0	0000:ca:00.1	ens36f0np0
dell-b200-01	0000:cc:00.0	0000:cc:00.1	ens34f0np0
dell-b200-01	0000:db:00.0	0000:db:00.1	ens35f0np0
dell-b200-02	0000:18:00.0	0000:18:00.1	ens40f0np0
dell-b200-02	0000:1a:00.0	0000:1a:00.1	ens42f0np0
dell-b200-02	0000:3a:00.0	0000:3a:00.1	ens41f0np0
dell-b200-02	0000:4d:00.0	0000:4d:00.1	ens38f0np0
dell-b200-02	0000:5d:00.0	0000:5d:00.1	ens37f0np0
dell-b200-02	0000:9b:00.0	0000:9b:00.1	ens32f0np0
dell-b200-02	0000:ba:00.0	0000:ba:00.1	ens31f0np0
dell-b200-02	0000:ca:00.0	0000:ca:00.1	ens36f0np0
dell-b200-02	0000:cc:00.0	0000:cc:00.1	ens34f0np0
dell-b200-02	0000:db:00.0	0000:db:00.1	ens35f0np0

